nw_dst=174.181.127.243/32, tp_src=67, tp_dst=64
nw_dst=174.181.127.238/32, tp_src=67, tp_dst=16384
nw_src=112.43.69.54/32, nw_dst=182.129.76.254/32, tp_src=67, tp_dst=4096, dl_dst=fa:16:3e:67:5a:03
nw_dst=182.129.76.254/32, tp_src=67, tp_dst=256, dl_dst=fa:16:3e:31:8c:47
nw_dst=182.129.76.254/32, tp_src=67, tp_dst=32768
nw_src=112.43.69.16/32, nw_dst=182.129.76.84/32, tp_src=67, tp_dst=8, dl_dst=fa:16:3e:15:53:d3, dl_src=fa:16:3e:47:d9:a6
nw_dst=182.129.76.84/32, tp_src=67, tp_dst=256
nw_dst=182.129.76.84/32, tp_src=67, tp_dst=2
nw_dst=182.129.76.84/32, tp_src=67, tp_dst=64
nw_dst=182.129.76.84/32, tp_src=67, tp_dst=32
nw_dst=216.140.4.139/32, tp_src=67, tp_dst=2048, dl_dst=fa:16:3e:cf:a8:8e
nw_dst=216.43.85.59/32, tp_src=67, tp_dst=2048
nw_dst=216.43.85.59/32, tp_src=67, tp_dst=4096
nw_dst=216.43.85.59/32, tp_src=67, tp_dst=256
nw_dst=216.43.85.40/32, tp_src=67, tp_dst=1024, dl_dst=fa:16:3e:1b:b4:0f
nw_dst=216.43.85.40/32, tp_src=67, tp_dst=4
nw_src=23.36.118.69/32, nw_dst=216.43.85.40/32, tp_src=67, tp_dst=2048, dl_dst=fa:16:3e:5c:95:31
nw_dst=216.43.85.40/32, tp_src=67, tp_dst=16384
nw_dst=216.43.85.40/32, tp_src=2888, tp_dst=16384
nw_src=23.36.118.21/32, nw_dst=216.43.85.40/32, tp_src=67, tp_dst=67, dl_dst=fa:16:3e:e7:55:74, dl_src=fa:16:3e:a8:00:d6
nw_dst=216.43.85.40/32, tp_src=2888, tp_dst=61440, dl_dst=fa:16:3e:75:80:c6
nw_src=23.36.118.16/32, nw_dst=216.43.85.40/32, tp_src=67, tp_dst=16384, dl_dst=fa:16:3e:6b:32:02
nw_proto=17, nw_src=182.113.46.99/32, tp_dst=49152, dl_src=fa:16:3e:3e:e7:69, eth_type=0x800
nw_proto=17, nw_dst=12.53.75.159/32, tp_dst=1, dl_dst=fa:16:3e:7f:78:9c, eth_type=0x800
nw_proto=6, nw_dst=12.53.118.121/32, tp_dst=32, dl_dst=fa:16:3e:16:25:94, eth_type=0x800
nw_proto=17, nw_dst=12.53.118.121/32, tp_dst=2, dl_dst=fa:16:3e:76:37:a9, eth_type=0x800
nw_proto=17, nw_src=248.253.164.192/32, tp_dst=2, dl_src=fa:16:3e:7e:76:ed, eth_type=0x800
nw_proto=6, nw_dst=12.53.118.121/32, tp_dst=68, dl_dst=fa:16:3e:a1:ad:8f, eth_type=0x800
