ADD,ethernet_validate,0000000000000000;1;00000000,,0
ADD,ethernet,000000000000000000000000000000000000000000001011,000000001,0
ADD,ethernet,000000000000000000000000000000000000000000010110,000000010,0
ADD,ethernet,000000000000000000000000000000000000000000100001,000000011,0
ADD,ethernet,000000000000000000000000000000000000000000101100,000000100,0
ADD,ethernet,000000000000000000000000000000000000000000110111,000000101,0
ADD,ethernet,000000000000000000000000000000000000000001000010,000000110,0
ADD,ethernet,000000000000000000000000000000000000000001001101,000000111,0
ADD,ethernet,000000000000000000000000000000000000000001011000,000001000,0
ADD,ethernet,000000000000000000000000000000000000000001100011,000001001,0
ADD,ethernet,000000000000000000000000000000000000001111110010,000001010,0
ADD,ethernet,000000000000000000000000000000000000010001010111,000001011,0
ADD,ethernet,000000000000000000000000000000000000010010111100,000001100,0
ADD,ethernet,000000000000000000000000000000000000010100100001,000001101,0
ADD,ethernet,000000000000000000000000000000000000010110000110,000001110,0
ADD,ethernet,000000000000000000000000000000000000010111101011,000001111,0
ADD,ethernet,000000000000000000000000000000000000011001010000,000010000,0
ADD,ethernet,000000000000000000000000000000000000011010110101,000010001,0
ADD,ethernet,000000000000000000000000000000000000011100011010,000010010,0
ADD,ethernet,000000000000000000000000000000000000011101111111,000010011,0
ADD,ethernet,000000000000000000000000000000000000011111100100,000010100,0
ADD,ethernet,000000000000000000000000000000000000100001001001,000010101,0
ADD,ethernet,000000000000000000000000000000000000100010101110,000010110,0
ADD,ethernet,000000000000000000000000000000000000100100010011,000010111,0
ADD,ethernet,000000000000000000000000000000000000100101111000,000011000,0
ADD,ethernet,000000000000000000000000000000000000100111011101,000011001,0
ADD,ethernet,000000000000000000000000000000000000101001000010,000011010,0
ADD,ethernet,000000000000000000000000000000000000101010100111,000011011,0
ADD,ethernet,000000000000000000000000000000000000101100001100,000011100,0
ADD,ethernet,000000000000000000000000000000000000101101110001,000011101,0
ADD,ethernet,000000000000000000000000000000000000101111010110,000011110,0
ADD,ethernet,000000000000000000000000000000000000110000111011,000011111,0
ADD,ethernet,000000000000000000000000000000000000110010100000,000100000,0
ADD,ethernet,000000000000000000000000000000000000110100000101,000100001,0
ADD,ethernet,000000000000000000000000000000000000110101101010,000100010,0
ADD,ethernet,000000000000000000000000000000000000110111001111,000100011,0
ADD,ethernet,000000000000000000000000000000000000111000110100,000100100,0
ADD,ethernet,000000000000000000000000000000000000111010011001,000100101,0
ADD,ethernet,000000000000000000000000000000000000111011111110,000100110,0
ADD,ethernet,000000000000000000000000000000000000111101100011,000100111,0
ADD,ethernet,000000000000000000000000000000000000111111001000,000101000,0
ADD,ethernet,000000000000000000000000000000000001000000101101,000101001,0
ADD,ethernet,000000000000000000000000000000000001000010010010,000101010,0
ADD,ethernet,000000000000000000000000000000000001000011110111,000101011,0
ADD,ethernet,000000000000000000000000000000000001000101011100,000101100,0
ADD,ethernet,000000000000000000000000000000000001000111000001,000101101,0
ADD,ethernet,000000000000000000000000000000000001001000100110,000101110,0
ADD,ethernet,000000000000000000000000000000000001001010001011,000101111,0
ADD,ethernet,000000000000000000000000000000000001001011110000,000110000,0
ADD,ethernet,000000000000000000000000000000000001001101010101,000110001,0
ADD,ethernet,000000000000000000000000000000000001001110111010,000110010,0
ADD,ethernet,000000000000000000000000000000000001010000011111,000110011,0
ADD,ethernet,000000000000000000000000000000000001010010000100,000110100,0
ADD,ethernet,000000000000000000000000000000000001010011101001,000110101,0
ADD,ethernet,000000000000000000000000000000000001010101001110,000110110,0
ADD,ethernet,000000000000000000000000000000000001010110110011,000110111,0
ADD,ethernet,000000000000000000000000000000000001011000011000,000111000,0
ADD,ethernet,000000000000000000000000000000000001011001111101,000111001,0
ADD,ethernet,000000000000000000000000000000000001011011100010,000111010,0
ADD,ethernet,000000000000000000000000000000000001011101000111,000111011,0
ADD,ethernet,000000000000000000000000000000000001011110101100,000111100,0
ADD,ethernet,000000000000000000000000000000000001100000010001,000111101,0
ADD,ethernet,000000000000000000000000000000000001100001110110,000111110,0
ADD,ethernet,000000000000000000000000000000000001100011011011,000111111,0
ADD,ethernet,000000000000000000000000000000000001100101000000,001000000,0
ADD,ethernet,000000000000000000000000000000000001100110100101,001000001,0
ADD,ethernet,000000000000000000000000000000000001101000001010,001000010,0
ADD,ethernet,000000000000000000000000000000000001101001101111,001000011,0
ADD,ethernet,000000000000000000000000000000000001101011010100,001000100,0
ADD,ethernet,000000000000000000000000000000000001101100111001,001000101,0
ADD,ethernet,000000000000000000000000000000000001101110011110,001000110,0
ADD,ethernet,000000000000000000000000000000000001110000000011,001000111,0
ADD,ethernet,000000000000000000000000000000000001110001101000,001001000,0
ADD,ethernet,000000000000000000000000000000000001110011001101,001001001,0
ADD,ethernet,000000000000000000000000000000000001110100110010,001001010,0
ADD,ethernet,000000000000000000000000000000000001110110010111,001001011,0
ADD,ethernet,000000000000000000000000000000000001110111111100,001001100,0
ADD,ethernet,000000000000000000000000000000000001111001100001,001001101,0
ADD,ethernet,000000000000000000000000000000000001111011000110,001001110,0
ADD,ethernet,000000000000000000000000000000000001111100101011,001001111,0
ADD,ethernet,000000000000000000000000000000000001111110010000,001010000,0
ADD,ethernet,000000000000000000000000000000000001111111110101,001010001,0
ADD,ethernet,000000000000000000000000000000000010000001011010,001010010,0
ADD,ethernet,000000000000000000000000000000000010000010111111,001010011,0
ADD,ethernet,000000000000000000000000000000000010000100100100,001010100,0
ADD,ethernet,000000000000000000000000000000000010000110001001,001010101,0
ADD,ethernet,000000000000000000000000000000000010000111101110,001010110,0
ADD,ethernet,000000000000000000000000000000000010001001010011,001010111,0
ADD,ethernet,000000000000000000000000000000000010001010111000,001011000,0
ADD,ethernet,000000000000000000000000000000000010001100011101,001011001,0
ADD,ethernet,000000000000000000000000000000000010001110000010,001011010,0
ADD,ethernet,000000000000000000000000000000000010001111100111,001011011,0
ADD,ethernet,000000000000000000000000000000000010010001001100,001011100,0
ADD,ethernet,000000000000000000000000000000000010010010110001,001011101,0
ADD,ethernet,000000000000000000000000000000000010010100010110,001011110,0
ADD,ethernet,000000000000000000000000000000000010010101111011,001011111,0
ADD,ethernet,000000000000000000000000000000000010010111100000,001100000,0
ADD,ethernet,000000000000000000000000000000000010011001000101,001100001,0
ADD,ethernet,000000000000000000000000000000000010011010101010,001100010,0
ADD,ethernet,000000000000000000000000000000000010011100001111,001100011,0
ADD,ethernet,000000000000000000000000000000011000011100000100,001100100,0
ADD,ethernet,000000000000000000000000000000011000101011101101,001100101,0
ADD,ethernet,000000000000000000000000000000011000111011010110,001100110,0
ADD,ethernet,000000000000000000000000000000011001001010111111,001100111,0
ADD,ethernet,000000000000000000000000000000011001011010101000,001101000,0
ADD,ethernet,000000000000000000000000000000011001101010010001,001101001,0
ADD,ethernet,000000000000000000000000000000011001111001111010,001101010,0
ADD,ethernet,000000000000000000000000000000011010001001100011,001101011,0
ADD,ethernet,000000000000000000000000000000011010011001001100,001101100,0
ADD,ethernet,000000000000000000000000000000011010101000110101,001101101,0
ADD,ethernet,000000000000000000000000000000011010111000011110,001101110,0
ADD,ethernet,000000000000000000000000000000011011001000000111,001101111,0
ADD,ethernet,000000000000000000000000000000011011010111110000,001110000,0
ADD,ethernet,000000000000000000000000000000011011100111011001,001110001,0
ADD,ethernet,000000000000000000000000000000011011110111000010,001110010,0
ADD,ethernet,000000000000000000000000000000011100000110101011,001110011,0
ADD,ethernet,000000000000000000000000000000011100010110010100,001110100,0
ADD,ethernet,000000000000000000000000000000011100100101111101,001110101,0
ADD,ethernet,000000000000000000000000000000011100110101100110,001110110,0
ADD,ethernet,000000000000000000000000000000011101000101001111,001110111,0
ADD,ethernet,000000000000000000000000000000011101010100111000,001111000,0
ADD,ethernet,000000000000000000000000000000011101100100100001,001111001,0
ADD,ethernet,000000000000000000000000000000011101110100001010,001111010,0
ADD,ethernet,000000000000000000000000000000011110000011110011,001111011,0
ADD,ethernet,000000000000000000000000000000011110010011011100,001111100,0
ADD,ethernet,000000000000000000000000000000011110100011000101,001111101,0
ADD,ethernet,000000000000000000000000000000011110110010101110,001111110,0
ADD,ethernet,000000000000000000000000000000011111000010010111,001111111,0
ADD,ethernet,000000000000000000000000000000011111010010000000,010000000,0
ADD,ethernet,000000000000000000000000000000011111100001101001,010000001,0
ADD,ethernet,000000000000000000000000000000011111110001010010,010000010,0
ADD,ethernet,000000000000000000000000000000100000000000111011,010000011,0
ADD,ethernet,000000000000000000000000000000100000010000100100,010000100,0
ADD,ethernet,000000000000000000000000000000100000100000001101,010000101,0
ADD,ethernet,000000000000000000000000000000100000101111110110,010000110,0
ADD,ethernet,000000000000000000000000000000100000111111011111,010000111,0
ADD,ethernet,000000000000000000000000000000100001001111001000,010001000,0
ADD,ethernet,000000000000000000000000000000100001011110110001,010001001,0
ADD,ethernet,000000000000000000000000000000100001101110011010,010001010,0
ADD,ethernet,000000000000000000000000000000100001111110000011,010001011,0
ADD,ethernet,000000000000000000000000000000100010001101101100,010001100,0
ADD,ethernet,000000000000000000000000000000100010011101010101,010001101,0
ADD,ethernet,000000000000000000000000000000100010101100111110,010001110,0
ADD,ethernet,000000000000000000000000000000100010111100100111,010001111,0
ADD,ethernet,000000000000000000000000000000100011001100010000,010010000,0
ADD,ethernet,000000000000000000000000000000100011011011111001,010010001,0
ADD,ethernet,000000000000000000000000000000100011101011100010,010010010,0
ADD,ethernet,000000000000000000000000000000100011111011001011,010010011,0
ADD,ethernet,000000000000000000000000000000100100001010110100,010010100,0
ADD,ethernet,000000000000000000000000000000100100011010011101,010010101,0
ADD,ethernet,000000000000000000000000000000100100101010000110,010010110,0
ADD,ethernet,000000000000000000000000000000100100111001101111,010010111,0
ADD,ethernet,000000000000000000000000000000100101001001011000,010011000,0
ADD,ethernet,000000000000000000000000000000100101011001000001,010011001,0
ADD,ethernet,000000000000000000000000000000100101101000101010,010011010,0
ADD,ethernet,000000000000000000000000000000100101111000010011,010011011,0
ADD,ethernet,000000000000000000000000000000100110000111111100,010011100,0
ADD,ethernet,000000000000000000000000000000100110010111100101,010011101,0
ADD,ethernet,000000000000000000000000000000100110100111001110,010011110,0
ADD,ethernet,000000000000000000000000000000100110110110110111,010011111,0
ADD,ethernet,000000000000000000000000000000100111000110100000,010100000,0
ADD,ethernet,000000000000000000000000000000100111010110001001,010100001,0
ADD,ethernet,000000000000000000000000000000100111100101110010,010100010,0
ADD,ethernet,000000000000000000000000000000100111110101011011,010100011,0
ADD,ethernet,000000000000000000000000000000101000000101000100,010100100,0
ADD,ethernet,000000000000000000000000000000101000010100101101,010100101,0
ADD,ethernet,000000000000000000000000000000101000100100010110,010100110,0
ADD,ethernet,000000000000000000000000000000101000110011111111,010100111,0
ADD,ethernet,000000000000000000000000000000101001000011101000,010101000,0
ADD,ethernet,000000000000000000000000000000101001010011010001,010101001,0
ADD,ethernet,000000000000000000000000000000101001100010111010,010101010,0
ADD,ethernet,000000000000000000000000000000101001110010100011,010101011,0
ADD,ethernet,000000000000000000000000000000101010000010001100,010101100,0
ADD,ethernet,000000000000000000000000000000101010010001110101,010101101,0
ADD,ethernet,000000000000000000000000000000101010100001011110,010101110,0
ADD,ethernet,000000000000000000000000000000101010110001000111,010101111,0
ADD,ethernet,000000000000000000000000000000101011000000110000,010110000,0
ADD,ethernet,000000000000000000000000000000101011010000011001,010110001,0
ADD,ethernet,000000000000000000000000000000101011100000000010,010110010,0
ADD,ethernet,000000000000000000000000000000101011101111101011,010110011,0
ADD,ethernet,000000000000000000000000000000101011111111010100,010110100,0
ADD,ethernet,000000000000000000000000000000101100001110111101,010110101,0
ADD,ethernet,000000000000000000000000000000101100011110100110,010110110,0
ADD,ethernet,000000000000000000000000000000101100101110001111,010110111,0
ADD,ethernet,000000000000000000000000000000101100111101111000,010111000,0
ADD,ethernet,000000000000000000000000000000101101001101100001,010111001,0
ADD,ethernet,000000000000000000000000000000101101011101001010,010111010,0
ADD,ethernet,000000000000000000000000000000101101101100110011,010111011,0
ADD,ethernet,000000000000000000000000000000101101111100011100,010111100,0
ADD,ethernet,000000000000000000000000000000101110001100000101,010111101,0
ADD,ethernet,000000000000000000000000000000101110011011101110,010111110,0
ADD,ethernet,000000000000000000000000000000101110101011010111,010111111,0
ADD,ethernet,000000000000000000000000000000101110111011000000,011000000,0
ADD,ethernet,000000000000000000000000000000101111001010101001,011000001,0
ADD,ethernet,000000000000000000000000000000101111011010010010,011000010,0
ADD,ethernet,000000000000000000000000000000101111101001111011,011000011,0
ADD,ethernet,000000000000000000000000000000101111111001100100,011000100,0
ADD,ethernet,000000000000000000000000000000110000001001001101,011000101,0
ADD,ethernet,000000000000000000000000000000110000011000110110,011000110,0
ADD,ethernet,000000000000000000000000000000110000101000011111,011000111,0
ADD,ethernet,000000000000000000000000000000110000111000001000,011001000,0
ADD,ethernet,000000000000000000000000000000110001000111110001,011001001,0
ADD,ethernet,000000000000000000000000000000110001010111011010,011001010,0
ADD,ethernet,000000000000000000000000000000110001100111000011,011001011,0
ADD,ethernet,000000000000000000000000000000110001110110101100,011001100,0
ADD,ethernet,000000000000000000000000000000110010000110010101,011001101,0
ADD,ethernet,000000000000000000000000000000110010010101111110,011001110,0
ADD,ethernet,000000000000000000000000000000110010100101100111,011001111,0
ADD,ethernet,000000000000000000000000000000110010110101010000,011010000,0
ADD,ethernet,000000000000000000000000000000110011000100111001,011010001,0
ADD,ethernet,000000000000000000000000000000110011010100100010,011010010,0
ADD,ethernet,000000000000000000000000000000110011100100001011,011010011,0
ADD,ethernet,000000000000000000000000000000110011110011110100,011010100,0
ADD,ethernet,000000000000000000000000000000110100000011011101,011010101,0
ADD,ethernet,000000000000000000000000000000110100010011000110,011010110,0
ADD,ethernet,000000000000000000000000000000110100100010101111,011010111,0
ADD,ethernet,000000000000000000000000000000110100110010011000,011011000,0
ADD,ethernet,000000000000000000000000000000110101000010000001,011011001,0
ADD,ethernet,000000000000000000000000000000110101010001101010,011011010,0
ADD,ethernet,000000000000000000000000000000110101100001010011,011011011,0
ADD,ethernet,000000000000000000000000000000110101110000111100,011011100,0
ADD,ethernet,000000000000000000000000000000110110000000100101,011011101,0
ADD,ethernet,000000000000000000000000000000110110010000001110,011011110,0
ADD,ethernet,000000000000000000000000000000110110011111110111,011011111,0
ADD,ethernet,000000000000000000000000000000110110101111100000,011100000,0
ADD,ethernet,000000000000000000000000000000110110111111001001,011100001,0
ADD,ethernet,000000000000000000000000000000110111001110110010,011100010,0
ADD,ethernet,000000000000000000000000000000110111011110011011,011100011,0
ADD,ethernet,000000000000000000000000000000110111101110000100,011100100,0
ADD,ethernet,000000000000000000000000000000110111111101101101,011100101,0
ADD,ethernet,000000000000000000000000000000111000001101010110,011100110,0
ADD,ethernet,000000000000000000000000000000111000011100111111,011100111,0
ADD,ethernet,000000000000000000000000000000111000101100101000,011101000,0
ADD,ethernet,000000000000000000000000000000111000111100010001,011101001,0
ADD,ethernet,000000000000000000000000000000111001001011111010,011101010,0
ADD,ethernet,000000000000000000000000000000111001011011100011,011101011,0
ADD,ethernet,000000000000000000000000000000111001101011001100,011101100,0
ADD,ethernet,000000000000000000000000000000111001111010110101,011101101,0
ADD,ethernet,000000000000000000000000000000111010001010011110,011101110,0
ADD,ethernet,000000000000000000000000000000111010011010000111,011101111,0
ADD,ethernet,000000000000000000000000000000111010101001110000,011110000,0
ADD,ethernet,000000000000000000000000000000111010111001011001,011110001,0
ADD,ethernet,000000000000000000000000000000111011001001000010,011110010,0
ADD,ethernet,000000000000000000000000000000111011011000101011,011110011,0
ADD,ethernet,000000000000000000000000000000111011101000010100,011110100,0
ADD,ethernet,000000000000000000000000000000111011110111111101,011110101,0
ADD,ethernet,000000000000000000000000000000111100000111100110,011110110,0
ADD,ethernet,000000000000000000000000000000111100010111001111,011110111,0
ADD,ethernet,000000000000000000000000000000111100100110111000,011111000,0
ADD,ethernet,000000000000000000000000000000111100110110100001,011111001,0
ADD,ethernet,000000000000000000000000000000111101000110001010,011111010,0
ADD,ethernet,000000000000000000000000000000111101010101110011,011111011,0
ADD,ethernet,000000000000000000000000000000111101100101011100,011111100,0
ADD,ethernet,000000000000000000000000000000111101110101000101,011111101,0
ADD,ethernet,000000000000000000000000000000111110000100101110,011111110,0
ADD,ethernet,000000000000000000000000000000111110010100010111,011111111,0
ADD,ethernet,000000000000000000000000000000111110100100000000,100000000,0
ADD,ethernet,000000000000000000000000000000111110110011101001,100000001,0
ADD,ethernet,000000000000000000000000000000111111000011010010,100000010,0
ADD,ethernet,000000000000000000000000000000111111010010111011,100000011,0
ADD,ethernet,000000000000000000000000000000111111100010100100,100000100,0
ADD,ethernet,000000000000000000000000000000111111110010001101,100000101,0
ADD,ethernet,000000000000000000000000000001000000000001110110,100000110,0
ADD,ethernet,000000000000000000000000000001000000010001011111,100000111,0
ADD,ethernet,000000000000000000000000000001000000100001001000,100001000,0
ADD,ethernet,000000000000000000000000000001000000110000110001,100001001,0
ADD,ethernet,000000000000000000000000000001000001000000011010,100001010,0
ADD,ethernet,000000000000000000000000000001000001010000000011,100001011,0
ADD,ethernet,000000000000000000000000000001000001011111101100,100001100,0
ADD,ethernet,000000000000000000000000000001000001101111010101,100001101,0
ADD,ethernet,000000000000000000000000000001000001111110111110,100001110,0
ADD,ethernet,000000000000000000000000000001000010001110100111,100001111,0
ADD,ethernet,000000000000000000000000000001000010011110010000,100010000,0
ADD,ethernet,000000000000000000000000000001000010101101111001,100010001,0
ADD,ethernet,000000000000000000000000000001000010111101100010,100010010,0
ADD,ethernet,000000000000000000000000000001000011001101001011,100010011,0
ADD,ethernet,000000000000000000000000000001000011011100110100,100010100,0
ADD,ethernet,000000000000000000000000000001000011101100011101,100010101,0
