name,typetime,num_fds,size_fds,size,num_joins,num_compose,num_override,num_filters,num_tblvars,num_literals,num_key_adds,num_key_dels,num_data_adds,num_data_dels,num_action_renames,eval_time,eval_in_size,eval_out_size,min_eval_size,min_eval_time
aws_azure_1,0.006914,0,0,10,0,0,1,0,3,0,0,0,0,0,0,0.001907,5,5,0,0.000000
aws_google_1,0.005007,0,0,10,0,0,1,0,3,0,0,0,0,0,0,0.000954,5,5,0,0.000000
azure_aws_1,0.007153,2,18,9,0,0,0,2,3,0,6,6,0,0,0,0.004053,4,5,0,0.000000
azure_google_1,0.002146,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0.000000,4,4,0,0.000000
google_aws_1,0.005960,2,18,9,0,0,0,2,3,0,6,6,0,0,0,0.003099,4,5,0,0.000000
google_azure_1,0.001907,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0.000000,4,4,0,0.000000
aws_azure_594,0.217915,0,0,10,0,0,1,0,3,0,0,0,0,0,0,0.357151,1191,1191,0,0.000000
aws_google_594,0.007868,0,0,10,0,0,1,0,3,0,0,0,0,0,0,0.326872,1191,1191,0,0.000000
azure_aws_594,0.008345,2,18,9,0,0,0,2,3,0,6,6,0,0,0,0.487804,1190,1191,0,0.000000
azure_google_594,0.001907,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0.000000,1190,1190,0,0.000000
google_aws_594,0.011921,2,18,9,0,0,0,2,3,0,6,6,0,0,0,0.293970,1190,1191,0,0.000000
google_azure_594,0.003099,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0.000715,1190,1190,0,0.000000
aws_azure_1188,0.006199,0,0,10,0,0,1,0,3,0,0,0,0,0,0,1.420021,2379,2379,0,0.000000
aws_google_1188,0.011921,0,0,10,0,0,1,0,3,0,0,0,0,0,0,1.480818,2379,2379,0,0.000000
azure_aws_1188,0.014067,2,18,9,0,0,0,2,3,0,6,6,0,0,0,0.855923,2378,2379,0,0.000000
azure_google_1188,0.003099,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0.001192,2378,2378,0,0.000000
google_aws_1188,0.010967,2,18,9,0,0,0,2,3,0,6,6,0,0,0,0.632048,2378,2379,0,0.000000
google_azure_1188,0.004053,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0.000954,2378,2378,0,0.000000
aws_azure_1782,0.007153,0,0,10,0,0,1,0,3,0,0,0,0,0,0,2.569199,3567,3567,0,0.000000
aws_google_1782,0.006199,0,0,10,0,0,1,0,3,0,0,0,0,0,0,2.719164,3567,3567,0,0.000000
azure_aws_1782,0.009775,2,18,9,0,0,0,2,3,0,6,6,0,0,0,2.032757,3566,3567,0,0.000000
azure_google_1782,0.004292,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0.000715,3566,3566,0,0.000000
google_aws_1782,0.010014,2,18,9,0,0,0,2,3,0,6,6,0,0,0,2.214909,3566,3567,0,0.000000
google_azure_1782,0.002861,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0.000954,3566,3566,0,0.000000
aws_azure_2376,0.010014,0,0,10,0,0,1,0,3,0,0,0,0,0,0,2.369165,4755,4755,0,0.000000
aws_google_2376,0.007868,0,0,10,0,0,1,0,3,0,0,0,0,0,0,4.624844,4755,4755,0,0.000000
azure_aws_2376,0.011206,2,18,9,0,0,0,2,3,0,6,6,0,0,0,2.818108,4754,4755,0,0.000000
azure_google_2376,0.003099,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0.000954,4754,4754,0,0.000000
google_aws_2376,0.008821,2,18,9,0,0,0,2,3,0,6,6,0,0,0,2.842188,4754,4755,0,0.000000
google_azure_2376,0.004053,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0.000954,4754,4754,0,0.000000
aws_azure_2970,0.007868,0,0,10,0,0,1,0,3,0,0,0,0,0,0,4.825115,5943,5943,0,0.000000
aws_google_2970,0.006914,0,0,10,0,0,1,0,3,0,0,0,0,0,0,4.129887,5943,5943,0,0.000000
azure_aws_2970,0.010014,2,18,9,0,0,0,2,3,0,6,6,0,0,0,3.082037,5942,5943,0,0.000000
azure_google_2970,0.003815,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0.001907,5942,5942,0,0.000000
google_aws_2970,0.011921,2,18,9,0,0,0,2,3,0,6,6,0,0,0,2.905130,5942,5943,0,0.000000
google_azure_2970,0.004292,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0.001192,5942,5942,0,0.000000
aws_azure_3564,0.010014,0,0,10,0,0,1,0,3,0,0,0,0,0,0,9.797096,7131,7131,0,0.000000
aws_google_3564,0.008345,0,0,10,0,0,1,0,3,0,0,0,0,0,0,4.529953,7131,7131,0,0.000000
azure_aws_3564,0.011921,2,18,9,0,0,0,2,3,0,6,6,0,0,0,3.113031,7130,7131,0,0.000000
azure_google_3564,0.004053,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0.002146,7130,7130,0,0.000000
google_aws_3564,0.009775,2,18,9,0,0,0,2,3,0,6,6,0,0,0,3.877878,7130,7131,0,0.000000
google_azure_3564,0.003099,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0.001907,7130,7130,0,0.000000
aws_azure_4158,0.007868,0,0,10,0,0,1,0,3,0,0,0,0,0,0,9.997845,8319,8319,0,0.000000
aws_google_4158,0.007868,0,0,10,0,0,1,0,3,0,0,0,0,0,0,11.887789,8319,8319,0,0.000000
azure_aws_4158,0.010014,2,18,9,0,0,0,2,3,0,6,6,0,0,0,4.527807,8318,8319,0,0.000000
azure_google_4158,0.004292,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0.001192,8318,8318,0,0.000000
google_aws_4158,0.009775,2,18,9,0,0,0,2,3,0,6,6,0,0,0,5.635977,8318,8319,0,0.000000
google_azure_4158,0.003099,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0.000954,8318,8318,0,0.000000
aws_azure_4752,0.008106,0,0,10,0,0,1,0,3,0,0,0,0,0,0,11.438131,9507,9507,0,0.000000
aws_google_4752,0.008106,0,0,10,0,0,1,0,3,0,0,0,0,0,0,8.409023,9507,9507,0,0.000000
azure_aws_4752,0.008821,2,18,9,0,0,0,2,3,0,6,6,0,0,0,6.025791,9506,9507,0,0.000000
