name,typetime,num_fds,size_fds,size,num_joins,num_compose,num_override,num_filters,num_tblvars,num_literals,num_key_adds,num_key_dels,num_data_adds,num_data_dels,num_action_renames,eval_time,eval_in_size,eval_out_size,min_eval_size,min_eval_time
aws_azure_1,0.008106,0,0,10,0,0,1,0,3,0,0,0,0,0,0,0.002861,5,5,0,0.000000
aws_google_1,0.005960,0,0,10,0,0,1,0,3,0,0,0,0,0,0,0.002146,5,5,0,0.000000
azure_aws_1,0.005722,2,18,9,0,0,0,2,3,0,6,6,0,0,0,0.002146,4,5,0,0.000000
azure_google_1,0.001907,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0.000000,4,4,0,0.000000
google_aws_1,0.005960,2,18,9,0,0,0,2,3,0,6,6,0,0,0,0.002146,4,5,0,0.000000
google_azure_1,0.000954,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0.000000,4,4,0,0.000000
aws_azure_114,0.009298,0,0,10,0,0,1,0,3,0,0,0,0,0,0,0.035048,231,231,0,0.000000
aws_google_114,0.007153,0,0,10,0,0,1,0,3,0,0,0,0,0,0,0.033855,231,231,0,0.000000
azure_aws_114,0.009060,2,18,9,0,0,0,2,3,0,6,6,0,0,0,0.059843,230,231,0,0.000000
azure_google_114,0.003099,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0.000954,230,230,0,0.000000
google_aws_114,0.006914,2,18,9,0,0,0,2,3,0,6,6,0,0,0,0.058889,230,231,0,0.000000
google_azure_114,0.002623,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0.000954,230,230,0,0.000000
aws_azure_227,0.006199,0,0,10,0,0,1,0,3,0,0,0,0,0,0,0.051975,457,457,0,0.000000
aws_google_227,0.005960,0,0,10,0,0,1,0,3,0,0,0,0,0,0,0.053883,457,457,0,0.000000
azure_aws_227,0.008106,2,18,9,0,0,0,2,3,0,6,6,0,0,0,0.818968,456,457,0,0.000000
azure_google_227,0.002623,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0.000954,456,456,0,0.000000
google_aws_227,0.008106,2,18,9,0,0,0,2,3,0,6,6,0,0,0,0.102758,456,457,0,0.000000
google_azure_227,0.003099,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0.000954,456,456,0,0.000000
aws_azure_340,0.006199,0,0,10,0,0,1,0,3,0,0,0,0,0,0,0.073910,683,683,0,0.000000
aws_google_340,0.005245,0,0,10,0,0,1,0,3,0,0,0,0,0,0,0.134945,683,683,0,0.000000
azure_aws_340,0.007868,2,18,9,0,0,0,2,3,0,6,6,0,0,0,0.504017,682,683,0,0.000000
azure_google_340,0.001907,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0.000000,682,682,0,0.000000
google_aws_340,0.007868,2,18,9,0,0,0,2,3,0,6,6,0,0,0,0.280142,682,683,0,0.000000
google_azure_340,0.002146,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0.001192,682,682,0,0.000000
aws_azure_453,0.006199,0,0,10,0,0,1,0,3,0,0,0,0,0,0,0.128031,909,909,0,0.000000
aws_google_453,0.005960,0,0,10,0,0,1,0,3,0,0,0,0,0,0,0.392914,909,909,0,0.000000
azure_aws_453,0.007868,2,18,9,0,0,0,2,3,0,6,6,0,0,0,0.326872,908,909,0,0.000000
azure_google_453,0.002146,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0.000954,908,908,0,0.000000
google_aws_453,0.010014,2,18,9,0,0,0,2,3,0,6,6,0,0,0,0.318050,908,909,0,0.000000
google_azure_453,0.002146,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0.000000,908,908,0,0.000000
aws_azure_566,0.008821,0,0,10,0,0,1,0,3,0,0,0,0,0,0,0.408888,1135,1135,0,0.000000
aws_google_566,0.005722,0,0,10,0,0,1,0,3,0,0,0,0,0,0,0.478983,1135,1135,0,0.000000
azure_aws_566,0.009060,2,18,9,0,0,0,2,3,0,6,6,0,0,0,0.303030,1134,1135,0,0.000000
azure_google_566,0.001907,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0.000000,1134,1134,0,0.000000
google_aws_566,0.008106,2,18,9,0,0,0,2,3,0,6,6,0,0,0,0.300646,1134,1135,0,0.000000
google_azure_566,0.002146,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0.000954,1134,1134,0,0.000000
aws_azure_679,0.017166,0,0,10,0,0,1,0,3,0,0,0,0,0,0,0.813961,1361,1361,0,0.000000
aws_google_679,0.005960,0,0,10,0,0,1,0,3,0,0,0,0,0,0,0.468254,1361,1361,0,0.000000
azure_aws_679,0.009775,2,18,9,0,0,0,2,3,0,6,6,0,0,0,0.305891,1360,1361,0,0.000000
azure_google_679,0.002861,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0.000954,1360,1360,0,0.000000
google_aws_679,0.010014,2,18,9,0,0,0,2,3,0,6,6,0,0,0,0.334024,1360,1361,0,0.000000
google_azure_679,0.001669,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0.000954,1360,1360,0,0.000000
aws_azure_792,0.005960,0,0,10,0,0,1,0,3,0,0,0,0,0,0,0.782013,1587,1587,0,0.000000
aws_google_792,0.010967,0,0,10,0,0,1,0,3,0,0,0,0,0,0,0.735044,1587,1587,0,0.000000
azure_aws_792,0.006914,2,18,9,0,0,0,2,3,0,6,6,0,0,0,0.370741,1586,1587,0,0.000000
azure_google_792,0.004768,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0.002146,1586,1586,0,0.000000
