name,typetime,num_fds,size_fds,size,num_joins,num_compose,num_override,num_filters,num_tblvars,num_literals,num_key_adds,num_key_dels,num_data_adds,num_data_dels,num_action_renames,eval_time,eval_in_size,eval_out_size,min_eval_size,min_eval_time
fwcpu_fwsys_1,0.026941,0,0,95,0,0,31,0,32,0,0,0,0,0,0,0.011206,64,64,0,0.000000
fwsys_fwcpu_1,2.027035,32,288,64,0,0,0,32,32,0,32,32,0,0,0,0.262022,65,96,0,0.000000
limitcpu_limitsys_1,0.056028,0,0,95,0,0,31,0,32,0,0,0,0,0,0,0.010967,64,64,0,0.000000
limitsys_limitcpu_1,1.770020,32,288,64,0,0,0,32,32,0,32,32,0,0,0,0.246763,65,96,0,0.000000
routecpu_routesys_1,0.029087,0,0,95,0,0,31,0,32,0,0,0,0,0,0,0.070095,64,64,0,0.000000
routesys_routecpu_1,1.263142,32,288,64,0,0,0,32,32,0,32,32,0,0,0,0.231981,65,96,0,0.000000
fwcpu_fwsys_7,0.024796,0,0,95,0,0,31,0,32,0,0,0,0,0,0,0.149965,256,256,0,0.000000
fwsys_fwcpu_7,1.541853,32,288,64,0,0,0,32,32,0,32,32,0,0,0,1.021862,257,288,0,0.000000
limitcpu_limitsys_7,0.062943,0,0,95,0,0,31,0,32,0,0,0,0,0,0,0.017166,256,256,0,0.000000
limitsys_limitcpu_7,1.243830,32,288,64,0,0,0,32,32,0,32,32,0,0,0,1.170874,257,288,0,0.000000
routecpu_routesys_7,0.026226,0,0,95,0,0,31,0,32,0,0,0,0,0,0,0.015736,256,256,0,0.000000
routesys_routecpu_7,1.240969,32,288,64,0,0,0,32,32,0,32,32,0,0,0,0.919104,257,288,0,0.000000
fwcpu_fwsys_13,0.022650,0,0,95,0,0,31,0,32,0,0,0,0,0,0,0.222921,448,448,0,0.000000
fwsys_fwcpu_13,1.219988,32,288,64,0,0,0,32,32,0,32,32,0,0,0,1.519203,449,480,0,0.000000
limitcpu_limitsys_13,0.025988,0,0,95,0,0,31,0,32,0,0,0,0,0,0,0.025749,448,448,0,0.000000
limitsys_limitcpu_13,1.242876,32,288,64,0,0,0,32,32,0,32,32,0,0,0,1.840830,449,480,0,0.000000
routecpu_routesys_13,0.041246,0,0,95,0,0,31,0,32,0,0,0,0,0,0,0.040054,448,448,0,0.000000
routesys_routecpu_13,1.498938,32,288,64,0,0,0,32,32,0,32,32,0,0,0,2.309084,449,480,0,0.000000
fwcpu_fwsys_19,0.029087,0,0,95,0,0,31,0,32,0,0,0,0,0,0,0.048876,640,640,0,0.000000
fwsys_fwcpu_19,1.244783,32,288,64,0,0,0,32,32,0,32,32,0,0,0,2.324104,641,672,0,0.000000
limitcpu_limitsys_19,0.118017,0,0,95,0,0,31,0,32,0,0,0,0,0,0,0.035763,640,640,0,0.000000
limitsys_limitcpu_19,1.276970,32,288,64,0,0,0,32,32,0,32,32,0,0,0,2.184868,641,672,0,0.000000
routecpu_routesys_19,0.026226,0,0,95,0,0,31,0,32,0,0,0,0,0,0,0.035048,640,640,0,0.000000
routesys_routecpu_19,1.420021,32,288,64,0,0,0,32,32,0,32,32,0,0,0,2.851009,641,672,0,0.000000
fwcpu_fwsys_25,0.051022,0,0,95,0,0,31,0,32,0,0,0,0,0,0,0.186205,832,832,0,0.000000
fwsys_fwcpu_25,1.198769,32,288,64,0,0,0,32,32,0,32,32,0,0,0,3.283978,833,864,0,0.000000
limitcpu_limitsys_25,0.025034,0,0,95,0,0,31,0,32,0,0,0,0,0,0,0.043869,832,832,0,0.000000
limitsys_limitcpu_25,1.413822,32,288,64,0,0,0,32,32,0,32,32,0,0,0,2.870798,833,864,0,0.000000
