name,typetime,num_fds,size_fds,size,num_joins,num_compose,num_override,num_filters,num_tblvars,num_literals,num_key_adds,num_key_dels,num_data_adds,num_data_dels,num_action_renames,eval_time,eval_in_size,eval_out_size,min_eval_size,min_eval_time
fwcpu_fwsys_1,0.027895,0,0,95,0,0,31,0,32,0,0,0,0,0,0,0.009060,32,32,0,0.000000
fwsys_fwcpu_1,1.987934,32,288,64,0,0,0,32,32,0,32,32,0,0,0,0.118971,32,32,0,0.000000
limitcpu_limitsys_1,0.025988,0,0,95,0,0,31,0,32,0,0,0,0,0,0,0.006914,32,32,0,0.000000
limitsys_limitcpu_1,1.539230,32,288,64,0,0,0,32,32,0,32,32,0,0,0,0.124931,32,32,0,0.000000
routecpu_routesys_1,0.027895,0,0,95,0,0,31,0,32,0,0,0,0,0,0,0.007391,32,32,0,0.000000
routesys_routecpu_1,1.291990,32,288,64,0,0,0,32,32,0,32,32,0,0,0,0.125885,32,32,0,0.000000
fwcpu_fwsys_7,0.070333,0,0,95,0,0,31,0,32,0,0,0,0,0,0,0.015020,224,224,0,0.000000
fwsys_fwcpu_7,1.241922,32,288,64,0,0,0,32,32,0,32,32,0,0,0,0.978947,224,224,0,0.000000
limitcpu_limitsys_7,0.026226,0,0,95,0,0,31,0,32,0,0,0,0,0,0,0.129938,224,224,0,0.000000
limitsys_limitcpu_7,1.285791,32,288,64,0,0,0,32,32,0,32,32,0,0,0,1.351833,224,224,0,0.000000
routecpu_routesys_7,0.027180,0,0,95,0,0,31,0,32,0,0,0,0,0,0,0.015974,224,224,0,0.000000
routesys_routecpu_7,1.574993,32,288,64,0,0,0,32,32,0,32,32,0,0,0,0.904799,224,224,0,0.000000
fwcpu_fwsys_13,0.023127,0,0,95,0,0,31,0,32,0,0,0,0,0,0,0.023842,416,416,0,0.000000
fwsys_fwcpu_13,1.532316,32,288,64,0,0,0,32,32,0,32,32,0,0,0,1.492262,416,416,0,0.000000
limitcpu_limitsys_13,0.025749,0,0,95,0,0,31,0,32,0,0,0,0,0,0,0.027895,416,416,0,0.000000
limitsys_limitcpu_13,1.724005,32,288,64,0,0,0,32,32,0,32,32,0,0,0,1.530886,416,416,0,0.000000
routecpu_routesys_13,0.029087,0,0,95,0,0,31,0,32,0,0,0,0,0,0,0.026226,416,416,0,0.000000
routesys_routecpu_13,1.843929,32,288,64,0,0,0,32,32,0,32,32,0,0,0,1.391888,416,416,0,0.000000
fwcpu_fwsys_19,0.046968,0,0,95,0,0,31,0,32,0,0,0,0,0,0,0.032187,608,608,0,0.000000
fwsys_fwcpu_19,1.487017,32,288,64,0,0,0,32,32,0,32,32,0,0,0,1.819134,608,608,0,0.000000
limitcpu_limitsys_19,0.026226,0,0,95,0,0,31,0,32,0,0,0,0,0,0,0.034094,608,608,0,0.000000
limitsys_limitcpu_19,1.202822,32,288,64,0,0,0,32,32,0,32,32,0,0,0,2.537012,608,608,0,0.000000
routecpu_routesys_19,0.027180,0,0,95,0,0,31,0,32,0,0,0,0,0,0,0.033140,608,608,0,0.000000
routesys_routecpu_19,1.785278,32,288,64,0,0,0,32,32,0,32,32,0,0,0,2.142906,608,608,0,0.000000
fwcpu_fwsys_25,0.042915,0,0,95,0,0,31,0,32,0,0,0,0,0,0,0.637054,800,800,0,0.000000
fwsys_fwcpu_25,1.195669,32,288,64,0,0,0,32,32,0,32,32,0,0,0,3.103971,800,800,0,0.000000
limitcpu_limitsys_25,0.024796,0,0,95,0,0,31,0,32,0,0,0,0,0,0,0.234842,800,800,0,0.000000
limitsys_limitcpu_25,1.214981,32,288,64,0,0,0,32,32,0,32,32,0,0,0,3.185272,800,800,0,0.000000
routecpu_routesys_25,0.026941,0,0,95,0,0,31,0,32,0,0,0,0,0,0,0.722885,800,800,0,0.000000
routesys_routecpu_25,1.248121,32,288,64,0,0,0,32,32,0,32,32,0,0,0,3.241062,800,800,0,0.000000
fwcpu_fwsys_31,0.024080,0,0,95,0,0,31,0,32,0,0,0,0,0,0,0.660896,992,992,0,0.000000
fwsys_fwcpu_31,1.210928,32,288,64,0,0,0,32,32,0,32,32,0,0,0,3.144026,992,992,0,0.000000
limitcpu_limitsys_31,0.025749,0,0,95,0,0,31,0,32,0,0,0,0,0,0,0.725985,992,992,0,0.000000
limitsys_limitcpu_31,1.204967,32,288,64,0,0,0,32,32,0,32,32,0,0,0,3.084183,992,992,0,0.000000
routecpu_routesys_31,0.027180,0,0,95,0,0,31,0,32,0,0,0,0,0,0,0.068188,992,992,0,0.000000
routesys_routecpu_31,1.465082,32,288,64,0,0,0,32,32,0,32,32,0,0,0,3.071070,992,992,0,0.000000
fwcpu_fwsys_37,0.024080,0,0,95,0,0,31,0,32,0,0,0,0,0,0,0.166893,1184,1184,0,0.000000
fwsys_fwcpu_37,1.374006,32,288,64,0,0,0,32,32,0,32,32,0,0,0,3.693104,1184,1184,0,0.000000
limitcpu_limitsys_37,0.052929,0,0,95,0,0,31,0,32,0,0,0,0,0,0,0.062943,1184,1184,0,0.000000
limitsys_limitcpu_37,1.374960,32,288,64,0,0,0,32,32,0,32,32,0,0,0,3.733873,1184,1184,0,0.000000
routecpu_routesys_37,0.032902,0,0,95,0,0,31,0,32,0,0,0,0,0,0,0.347853,1184,1184,0,0.000000
routesys_routecpu_37,1.396179,32,288,64,0,0,0,32,32,0,32,32,0,0,0,3.767014,1184,1184,0,0.000000
fwcpu_fwsys_43,0.025988,0,0,95,0,0,31,0,32,0,0,0,0,0,0,0.267982,1376,1376,0,0.000000
fwsys_fwcpu_43,1.340866,32,288,64,0,0,0,32,32,0,32,32,0,0,0,4.126072,1376,1376,0,0.000000
limitcpu_limitsys_43,0.025034,0,0,95,0,0,31,0,32,0,0,0,0,0,0,0.240088,1376,1376,0,0.000000
limitsys_limitcpu_43,1.235962,32,288,64,0,0,0,32,32,0,32,32,0,0,0,3.965855,1376,1376,0,0.000000
routecpu_routesys_43,0.027180,0,0,95,0,0,31,0,32,0,0,0,0,0,0,0.285149,1376,1376,0,0.000000
routesys_routecpu_43,1.276970,32,288,64,0,0,0,32,32,0,32,32,0,0,0,3.906012,1376,1376,0,0.000000
fwcpu_fwsys_49,0.022888,0,0,95,0,0,31,0,32,0,0,0,0,0,0,0.534058,1568,1568,0,0.000000
fwsys_fwcpu_49,1.410961,32,288,64,0,0,0,32,32,0,32,32,0,0,0,5.831242,1568,1568,0,0.000000
limitcpu_limitsys_49,0.025034,0,0,95,0,0,31,0,32,0,0,0,0,0,0,0.225067,1568,1568,0,0.000000
limitsys_limitcpu_49,1.173019,32,288,64,0,0,0,32,32,0,32,32,0,0,0,4.790068,1568,1568,0,0.000000
routecpu_routesys_49,0.026941,0,0,95,0,0,31,0,32,0,0,0,0,0,0,0.264168,1568,1568,0,0.000000
routesys_routecpu_49,1.338243,32,288,64,0,0,0,32,32,0,32,32,0,0,0,4.518986,1568,1568,0,0.000000
fwcpu_fwsys_56,0.023842,0,0,95,0,0,31,0,32,0,0,0,0,0,0,0.262022,1792,1792,0,0.000000
fwsys_fwcpu_56,1.159906,32,288,64,0,0,0,32,32,0,32,32,0,0,0,5.146980,1792,1792,0,0.000000
limitcpu_limitsys_56,0.026226,0,0,95,0,0,31,0,32,0,0,0,0,0,0,0.250101,1792,1792,0,0.000000
limitsys_limitcpu_56,1.208782,32,288,64,0,0,0,32,32,0,32,32,0,0,0,5.589962,1792,1792,0,0.000000
routecpu_routesys_56,0.094891,0,0,95,0,0,31,0,32,0,0,0,0,0,0,0.195980,1792,1792,0,0.000000
routesys_routecpu_56,1.367807,32,288,64,0,0,0,32,32,0,32,32,0,0,0,5.659819,1792,1792,0,0.000000
