name,typetime,num_fds,size_fds,size,num_joins,num_compose,num_override,num_filters,num_tblvars,num_literals,num_key_adds,num_key_dels,num_data_adds,num_data_dels,num_action_renames,eval_time,eval_in_size,eval_out_size,min_eval_size,min_eval_time
lo_ad_1,0.009060,0,0,7,0,0,0,0,4,0,0,0,0,2,1,0.003099,6,8,0,0.000000
lo_ch_1,0.010014,0,0,7,0,0,0,0,6,1,0,0,0,0,0,0.002861,6,13,0,0.000000
lo_db_1,0.007153,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0.001192,6,12,0,0.000000
lo_ev_1,0.019073,3,3,26,0,0,0,0,5,0,13,13,0,0,4,0.004768,6,10,0,0.000000
lo_la_1,0.325203,0,0,29,1,2,1,0,7,2,3,3,0,5,8,2.881050,6,521,0,0.000000
ad_lo_1,0.006199,0,0,9,1,0,0,0,4,0,0,0,0,0,4,0.004053,8,8,0,0.000000
ad_ch_1,0.012875,0,0,13,1,0,0,0,7,1,0,0,0,0,4,0.005245,8,17,0,0.000000
ad_db_1,0.009060,0,0,12,1,0,0,0,7,0,0,0,0,0,4,0.005007,8,16,0,0.000000
ad_ev_1,0.015020,3,3,32,1,0,0,0,6,0,13,13,0,0,8,0.008821,8,12,0,0.000000
ad_la_1,0.308990,0,0,36,2,2,1,0,9,2,3,3,0,5,12,2.207041,8,533,0,0.000000
ch_lo_1,0.004768,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0.002146,13,6,0,0.000000
ch_ad_1,0.006199,0,0,7,0,0,0,0,4,0,0,0,0,2,1,0.001907,13,8,0,0.000000
ch_db_1,0.008821,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0.001669,13,12,0,0.000000
ch_ev_1,0.015020,3,3,26,0,0,0,0,5,0,13,13,0,0,4,0.004768,13,10,0,0.000000
ch_la_1,0.394106,0,0,29,1,2,1,0,7,2,3,3,0,5,8,1.571178,13,521,0,0.000000
db_lo_1,0.005007,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0.001192,12,6,0,0.000000
db_ad_1,0.005960,0,0,7,0,0,0,0,4,0,0,0,0,2,1,0.003099,12,8,0,0.000000
db_ch_1,0.575066,0,0,7,0,0,0,0,6,1,0,0,0,0,0,0.003099,12,13,0,0.000000
db_ev_1,0.015736,3,3,26,0,0,0,0,5,0,13,13,0,0,4,0.005960,12,10,0,0.000000
db_la_1,0.318289,0,0,29,1,2,1,0,7,2,3,3,0,5,8,1.990795,12,521,0,0.000000
ev_lo_1,0.013113,1,1,21,2,0,0,0,5,0,4,4,0,0,8,0.010967,10,12,0,0.000000
ev_ad_1,0.011921,1,1,25,2,0,0,0,6,0,4,4,0,2,9,0.010967,10,14,0,0.000000
ev_ch_1,0.231981,1,1,25,2,0,0,0,8,1,4,4,0,0,8,0.010967,10,25,0,0.000000
ev_db_1,0.014305,1,1,24,2,0,0,0,8,0,4,4,0,0,8,0.034094,10,24,0,0.000000
ev_la_1,0.299931,1,1,47,3,2,1,0,9,2,7,7,0,5,16,1.549006,10,527,0,0.000000
la_lo_1,0.006914,0,0,17,1,2,0,0,6,0,0,0,0,2,6,0.087738,521,20,0,0.000000
la_ad_1,0.007868,0,0,15,0,2,0,0,6,0,0,0,0,2,5,0.076056,521,12,0,0.000000
la_ch_1,0.013828,0,0,21,1,2,0,0,9,1,0,0,0,2,6,0.083923,521,41,0,0.000000
la_db_1,0.010014,0,0,20,1,2,0,0,9,0,0,0,0,2,6,0.080824,521,40,0,0.000000
la_ev_1,0.015974,3,3,40,1,2,0,0,8,0,13,13,0,2,10,0.086069,521,24,0,0.000000
lo_ad_56,0.005007,0,0,7,0,0,0,0,4,0,0,0,0,2,1,0.011683,116,173,0,0.000000
lo_ch_56,0.007868,0,0,7,0,0,0,0,6,1,0,0,0,0,0,0.001669,116,233,0,0.000000
lo_db_56,0.007153,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0.002146,116,232,0,0.000000
lo_ev_56,0.011921,3,3,26,0,0,0,0,5,0,13,13,0,0,4,0.004053,116,120,0,0.000000
lo_la_56,0.387192,0,0,29,1,2,1,0,7,2,3,3,0,5,8,3.670931,116,741,0,0.000000
ad_lo_56,0.005960,0,0,9,1,0,0,0,4,0,0,0,0,0,4,1.120090,173,228,0,0.000000
ad_ch_56,0.011921,0,0,13,1,0,0,0,7,1,0,0,0,0,4,1.214981,173,457,0,0.000000
ad_db_56,0.009060,0,0,12,1,0,0,0,7,0,0,0,0,0,4,1.257896,173,456,0,0.000000
ad_ev_56,0.015020,3,3,32,1,0,0,0,6,0,13,13,0,0,8,1.274824,173,232,0,0.000000
ad_la_56,0.590801,0,0,36,2,2,1,0,9,2,3,3,0,5,12,14.048100,173,1413,0,0.000000
ch_lo_56,0.004768,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0.002146,233,116,0,0.000000
ch_ad_56,0.009060,0,0,7,0,0,0,0,4,0,0,0,0,2,1,0.012636,233,173,0,0.000000
ch_db_56,0.012875,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0.003099,233,232,0,0.000000
ch_ev_56,0.019073,3,3,26,0,0,0,0,5,0,13,13,0,0,4,0.006914,233,120,0,0.000000
