name,typetime,num_fds,size_fds,size,num_joins,num_compose,num_override,num_filters,num_tblvars,num_literals,num_key_adds,num_key_dels,num_data_adds,num_data_dels,num_action_renames,eval_time,eval_in_size,eval_out_size,min_eval_size,min_eval_time
lo_ad_1,0.014782,0,0,7,0,0,0,0,4,0,0,0,0,2,1,0.003099,6,8,0,0.000000
lo_ch_1,0.010967,0,0,7,0,0,0,0,6,1,0,0,0,0,0,0.003099,6,13,0,0.000000
lo_db_1,0.006914,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0.000954,6,12,0,0.000000
lo_ev_1,0.024080,3,3,26,0,0,0,0,5,0,13,13,0,0,4,0.005960,6,10,0,0.000000
lo_la_1,0.296831,0,0,29,1,2,1,0,7,2,3,3,0,5,8,3.014803,6,521,0,0.000000
ad_lo_1,0.007153,0,0,9,1,0,0,0,4,0,0,0,0,0,4,0.005245,8,8,0,0.000000
ad_ch_1,0.011921,0,0,13,1,0,0,0,7,1,0,0,0,0,4,0.004768,8,17,0,0.000000
ad_db_1,0.015974,0,0,12,1,0,0,0,7,0,0,0,0,0,4,0.008345,8,16,0,0.000000
ad_ev_1,0.021935,3,3,32,1,0,0,0,6,0,13,13,0,0,8,0.009060,8,12,0,0.000000
ad_la_1,0.340939,0,0,36,2,2,1,0,9,2,3,3,0,5,12,2.299070,8,533,0,0.000000
ch_lo_1,0.004768,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0.001907,13,6,0,0.000000
ch_ad_1,0.006199,0,0,7,0,0,0,0,4,0,0,0,0,2,1,0.002146,13,8,0,0.000000
ch_db_1,0.009060,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0.003099,13,12,0,0.000000
ch_ev_1,0.015736,3,3,26,0,0,0,0,5,0,13,13,0,0,4,0.004768,13,10,0,0.000000
ch_la_1,0.360012,0,0,29,1,2,1,0,7,2,3,3,0,5,8,1.649857,13,521,0,0.000000
db_lo_1,0.004053,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0.000954,12,6,0,0.000000
db_ad_1,0.005960,0,0,7,0,0,0,0,4,0,0,0,0,2,1,0.001669,12,8,0,0.000000
db_ch_1,0.442743,0,0,7,0,0,0,0,6,1,0,0,0,0,0,0.003099,12,13,0,0.000000
db_ev_1,0.016928,3,3,26,0,0,0,0,5,0,13,13,0,0,4,0.007868,12,10,0,0.000000
db_la_1,0.306845,0,0,29,1,2,1,0,7,2,3,3,0,5,8,2.147913,12,521,0,0.000000
ev_lo_1,0.013113,1,1,21,2,0,0,0,5,0,4,4,0,0,8,0.012875,10,12,0,0.000000
ev_ad_1,0.019073,1,1,25,2,0,0,0,6,0,4,4,0,2,9,0.015974,10,14,0,0.000000
ev_ch_1,0.208139,1,1,25,2,0,0,0,8,1,4,4,0,0,8,0.010967,10,25,0,0.000000
ev_db_1,0.014067,1,1,24,2,0,0,0,8,0,4,4,0,0,8,0.034094,10,24,0,0.000000
ev_la_1,0.319958,1,1,47,3,2,1,0,9,2,7,7,0,5,16,1.723051,10,527,0,0.000000
la_lo_1,0.007153,0,0,17,1,2,0,0,6,0,0,0,0,2,6,0.082254,521,20,0,0.000000
la_ad_1,0.006199,0,0,15,0,2,0,0,6,0,0,0,0,2,5,0.071049,521,12,0,0.000000
la_ch_1,0.012875,0,0,21,1,2,0,0,9,1,0,0,0,2,6,0.081062,521,41,0,0.000000
la_db_1,0.010967,0,0,20,1,2,0,0,9,0,0,0,0,2,6,0.078917,521,40,0,0.000000
la_ev_1,0.016928,3,3,40,1,2,0,0,8,0,13,13,0,2,10,0.082016,521,24,0,0.000000
lo_ad_55556,0.003815,0,0,7,0,0,0,0,4,0,0,0,0,2,1,167964.275837,111116,166673,0,0.000000
lo_ch_55556,0.015020,0,0,7,0,0,0,0,6,1,0,0,0,0,0,0.005960,111116,222233,0,0.000000
lo_db_55556,0.010967,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0.005245,111116,222232,0,0.000000
lo_ev_55556,0.021935,3,3,26,0,0,0,0,5,0,13,13,0,0,4,0.011921,111116,111120,0,0.000000
