name,typetime,num_fds,size_fds,size,num_joins,num_compose,num_override,num_filters,num_tblvars,num_literals,num_key_adds,num_key_dels,num_data_adds,num_data_dels,num_action_renames,eval_time,eval_in_size,eval_out_size,min_eval_size,min_eval_time
lo_ad_1,0.008106,0,0,7,0,0,0,0,4,0,0,0,0,2,1,0.003099,6,8,0,0.000000
lo_ch_1,0.010014,0,0,7,0,0,0,0,6,1,0,0,0,0,0,0.003099,6,13,0,0.000000
lo_db_1,0.008106,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0.002146,6,12,0,0.000000
lo_ev_1,0.023127,3,3,26,0,0,0,0,5,0,13,13,0,0,4,0.005960,6,10,0,0.000000
lo_la_1,0.333071,0,0,29,1,2,1,0,7,2,3,3,0,5,8,3.008127,6,521,0,0.000000
ad_lo_1,0.005722,0,0,9,1,0,0,0,4,0,0,0,0,0,4,0.005245,8,8,0,0.000000
ad_ch_1,0.011921,0,0,13,1,0,0,0,7,1,0,0,0,0,4,0.005960,8,17,0,0.000000
ad_db_1,0.008106,0,0,12,1,0,0,0,7,0,0,0,0,0,4,0.004053,8,16,0,0.000000
ad_ev_1,0.016689,3,3,32,1,0,0,0,6,0,13,13,0,0,8,0.007153,8,12,0,0.000000
ad_la_1,0.310659,0,0,36,2,2,1,0,9,2,3,3,0,5,12,2.374172,8,533,0,0.000000
ch_lo_1,0.005245,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0.002146,13,6,0,0.000000
ch_ad_1,0.006914,0,0,7,0,0,0,0,4,0,0,0,0,2,1,0.002861,13,8,0,0.000000
ch_db_1,0.010014,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0.003099,13,12,0,0.000000
ch_ev_1,0.015736,3,3,26,0,0,0,0,5,0,13,13,0,0,4,0.005960,13,10,0,0.000000
ch_la_1,0.349760,0,0,29,1,2,1,0,7,2,3,3,0,5,8,1.845837,13,521,0,0.000000
db_lo_1,0.004292,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0.000954,12,6,0,0.000000
db_ad_1,0.006199,0,0,7,0,0,0,0,4,0,0,0,0,2,1,0.002146,12,8,0,0.000000
db_ch_1,0.582933,0,0,7,0,0,0,0,6,1,0,0,0,0,0,0.003099,12,13,0,0.000000
db_ev_1,0.015974,3,3,26,0,0,0,0,5,0,13,13,0,0,4,0.005960,12,10,0,0.000000
db_la_1,0.332117,0,0,29,1,2,1,0,7,2,3,3,0,5,8,2.072096,12,521,0,0.000000
ev_lo_1,0.013113,1,1,21,2,0,0,0,5,0,4,4,0,0,8,0.016212,10,12,0,0.000000
ev_ad_1,0.013113,1,1,25,2,0,0,0,6,0,4,4,0,2,9,0.011921,10,14,0,0.000000
ev_ch_1,0.190973,1,1,25,2,0,0,0,8,1,4,4,0,0,8,0.011921,10,25,0,0.000000
ev_db_1,0.015020,1,1,24,2,0,0,0,8,0,4,4,0,0,8,0.032902,10,24,0,0.000000
ev_la_1,0.343800,1,1,47,3,2,1,0,9,2,7,7,0,5,16,1.753092,10,527,0,0.000000
la_lo_1,0.006914,0,0,17,1,2,0,0,6,0,0,0,0,2,6,0.088930,521,20,0,0.000000
la_ad_1,0.005960,0,0,15,0,2,0,0,6,0,0,0,0,2,5,0.076056,521,12,0,0.000000
la_ch_1,0.015020,0,0,21,1,2,0,0,9,1,0,0,0,2,6,0.102043,521,41,0,0.000000
la_db_1,0.010967,0,0,20,1,2,0,0,9,0,0,0,0,2,6,0.085115,521,40,0,0.000000
la_ev_1,0.016928,3,3,40,1,2,0,0,8,0,13,13,0,2,10,0.099182,521,24,0,0.000000
lo_ad_2778,0.005007,0,0,7,0,0,0,0,4,0,0,0,0,2,1,29.880047,5560,8339,0,0.000000
lo_ch_2778,0.014067,0,0,7,0,0,0,0,6,1,0,0,0,0,0,0.004053,5560,11121,0,0.000000
lo_db_2778,0.010014,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0.003099,5560,11120,0,0.000000
lo_ev_2778,0.023127,3,3,26,0,0,0,0,5,0,13,13,0,0,4,0.008821,5560,5564,0,0.000000
lo_la_2778,0.482798,0,0,29,1,2,1,0,7,2,3,3,0,5,8,2452.466011,5560,11629,0,0.000000
ad_lo_2778,0.011921,0,0,9,1,0,0,0,4,0,0,0,0,0,4,2259.010077,8339,11116,0,0.000000
ad_ch_2778,0.023127,0,0,13,1,0,0,0,7,1,0,0,0,0,4,2286.394119,8339,22233,0,0.000000
ad_db_2778,0.014782,0,0,12,1,0,0,0,7,0,0,0,0,0,4,2516.080856,8339,22232,0,0.000000
ad_ev_2778,0.021935,3,3,32,1,0,0,0,6,0,13,13,0,0,8,2485.334873,8339,11120,0,0.000000
ad_la_2778,0.446081,0,0,36,2,2,1,0,9,2,3,3,0,5,12,120116.649151,8339,44965,0,0.000000
ch_lo_2778,0.007391,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0.002861,11121,5560,0,0.000000
ch_ad_2778,0.010014,0,0,7,0,0,0,0,4,0,0,0,0,2,1,32.341957,11121,8339,0,0.000000
ch_db_2778,0.012159,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0.004053,11121,11120,0,0.000000
ch_ev_2778,0.020981,3,3,26,0,0,0,0,5,0,13,13,0,0,4,0.010014,11121,5564,0,0.000000
ch_la_2778,0.589848,0,0,29,1,2,1,0,7,2,3,3,0,5,8,2645.699024,11121,11629,0,0.000000
db_lo_2778,0.007153,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0.002861,11120,5560,0,0.000000
db_ad_2778,0.009060,0,0,7,0,0,0,0,4,0,0,0,0,2,1,27.686834,11120,8339,0,0.000000
db_ch_2778,0.014067,0,0,7,0,0,0,0,6,1,0,0,0,0,0,0.004768,11120,11121,0,0.000000
db_ev_2778,0.025988,3,3,26,0,0,0,0,5,0,13,13,0,0,4,0.010014,11120,5564,0,0.000000
db_la_2778,0.323057,0,0,29,1,2,1,0,7,2,3,3,0,5,8,2607.456923,11120,11629,0,0.000000
ev_lo_2778,0.017881,1,1,21,2,0,0,0,5,0,4,4,0,0,8,0.080824,5564,5566,0,0.000000
ev_ad_2778,0.018835,1,1,25,2,0,0,0,6,0,4,4,0,2,9,29.201984,5564,8345,0,0.000000
ev_ch_2778,0.024080,1,1,25,2,0,0,0,8,1,4,4,0,0,8,0.017166,5564,11133,0,0.000000
ev_db_2778,0.016928,1,1,24,2,0,0,0,8,0,4,4,0,0,8,0.067711,5564,11132,0,0.000000
ev_la_2778,0.435829,1,1,47,3,2,1,0,9,2,7,7,0,5,16,2453.352928,5564,11635,0,0.000000
la_lo_2778,0.017166,0,0,17,1,2,0,0,6,0,0,0,0,2,6,117014.757872,11629,44452,0,0.000000
la_ad_2778,0.011921,0,0,15,0,2,0,0,6,0,0,0,0,2,5,1132.173061,11629,19451,0,0.000000
la_ch_2778,0.022173,0,0,21,1,2,0,0,9,1,0,0,0,2,6,115088.393927,11629,88905,0,0.000000
la_db_2778,0.019073,0,0,20,1,2,0,0,9,0,0,0,0,2,6,117781.904936,11629,88904,0,0.000000
la_ev_2778,1.823902,3,3,40,1,2,0,0,8,0,13,13,0,2,10,117877.153158,11629,44456,0,0.000000
lo_ad_5556,0.010014,0,0,7,0,0,0,0,4,0,0,0,0,2,1,177.134991,11116,16673,0,0.000000
lo_ch_5556,0.015259,0,0,7,0,0,0,0,6,1,0,0,0,0,0,0.003815,11116,22233,0,0.000000
lo_db_5556,0.010967,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0.004053,11116,22232,0,0.000000
lo_ev_5556,0.020981,3,3,26,0,0,0,0,5,0,13,13,0,0,4,0.015974,11116,11120,0,0.000000
lo_la_5556,0.528812,0,0,29,1,2,1,0,7,2,3,3,0,5,8,14880.357981,11116,22741,0,0.000000
ad_lo_5556,0.010967,0,0,9,1,0,0,0,4,0,0,0,0,0,4,12918.024063,16673,22228,0,0.000000
ad_ch_5556,0.018835,0,0,13,1,0,0,0,7,1,0,0,0,0,4,12363.166094,16673,44457,0,0.000000
ad_db_5556,0.015974,0,0,12,1,0,0,0,7,0,0,0,0,0,4,15229.934931,16673,44456,0,0.000000
ad_ev_5556,0.023127,3,3,32,1,0,0,0,6,0,13,13,0,0,8,12950.108051,16673,22232,0,0.000000
ad_la_5556,0.611305,0,0,36,2,2,1,0,9,2,3,3,0,5,12,775427.552700,16673,89413,0,0.000000
ch_lo_5556,0.007153,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0.003815,22233,11116,0,0.000000
ch_ad_5556,0.010967,0,0,7,0,0,0,0,4,0,0,0,0,2,1,172.181129,22233,16673,0,0.000000
ch_db_5556,0.019073,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0.005245,22233,22232,0,0.000000
ch_ev_5556,0.022173,3,3,26,0,0,0,0,5,0,13,13,0,0,4,0.011921,22233,11120,0,0.000000
ch_la_5556,0.631094,0,0,29,1,2,1,0,7,2,3,3,0,5,8,13186.854839,22233,22741,0,0.000000
db_lo_5556,0.008106,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0.002146,22232,11116,0,0.000000
db_ad_5556,0.010967,0,0,7,0,0,0,0,4,0,0,0,0,2,1,171.038866,22232,16673,0,0.000000
db_ch_5556,0.023842,0,0,7,0,0,0,0,6,1,0,0,0,0,0,0.006914,22232,22233,0,0.000000
db_ev_5556,0.019073,3,3,26,0,0,0,0,5,0,13,13,0,0,4,0.010014,22232,11120,0,0.000000
db_la_5556,0.343084,0,0,29,1,2,1,0,7,2,3,3,0,5,8,13356.356859,22232,22741,0,0.000000
ev_lo_5556,0.018120,1,1,21,2,0,0,0,5,0,4,4,0,0,8,0.080824,11120,11122,0,0.000000
ev_ad_5556,0.015974,1,1,25,2,0,0,0,6,0,4,4,0,2,9,163.645029,11120,16679,0,0.000000
ev_ch_5556,0.027180,1,1,25,2,0,0,0,8,1,4,4,0,0,8,0.018835,11120,22245,0,0.000000
