name,typetime,num_fds,size_fds,size,num_joins,num_compose,num_override,num_filters,num_tblvars,num_literals,num_key_adds,num_key_dels,num_data_adds,num_data_dels,num_action_renames,eval_time,eval_in_size,eval_out_size,min_eval_size,min_eval_time
lo_ad_1,0.008821,0,0,7,0,0,0,0,4,0,0,0,0,2,1,0.002861,6,8,0,0.000000
lo_ch_1,0.010967,0,0,7,0,0,0,0,6,1,0,0,0,0,0,0.003099,6,13,0,0.000000
lo_db_1,0.006914,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0.001669,6,12,0,0.000000
lo_ev_1,0.017881,3,3,26,0,0,0,0,5,0,13,13,0,0,4,0.005960,6,10,0,0.000000
lo_la_1,0.302076,0,0,29,1,2,1,0,7,2,3,3,0,5,8,2.943039,6,521,0,0.000000
ad_lo_1,0.005960,0,0,9,1,0,0,0,4,0,0,0,0,0,4,0.005245,8,8,0,0.000000
ad_ch_1,0.012159,0,0,13,1,0,0,0,7,1,0,0,0,0,4,0.004768,8,17,0,0.000000
ad_db_1,0.009060,0,0,12,1,0,0,0,7,0,0,0,0,0,4,0.004053,8,16,0,0.000000
ad_ev_1,0.015974,3,3,32,1,0,0,0,6,0,13,13,0,0,8,0.006914,8,12,0,0.000000
ad_la_1,0.355959,0,0,36,2,2,1,0,9,2,3,3,0,5,12,2.268076,8,533,0,0.000000
ch_lo_1,0.004053,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0.002146,13,6,0,0.000000
ch_ad_1,0.006199,0,0,7,0,0,0,0,4,0,0,0,0,2,1,0.001669,13,8,0,0.000000
ch_db_1,0.010014,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0.003099,13,12,0,0.000000
ch_ev_1,0.015259,3,3,26,0,0,0,0,5,0,13,13,0,0,4,0.005245,13,10,0,0.000000
ch_la_1,0.392914,0,0,29,1,2,1,0,7,2,3,3,0,5,8,1.552820,13,521,0,0.000000
db_lo_1,0.003815,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0.001669,12,6,0,0.000000
db_ad_1,0.006199,0,0,7,0,0,0,0,4,0,0,0,0,2,1,0.000715,12,8,0,0.000000
db_ch_1,0.560999,0,0,7,0,0,0,0,6,1,0,0,0,0,0,0.002861,12,13,0,0.000000
db_ev_1,0.015974,3,3,26,0,0,0,0,5,0,13,13,0,0,4,0.006199,12,10,0,0.000000
db_la_1,0.302792,0,0,29,1,2,1,0,7,2,3,3,0,5,8,2.001762,12,521,0,0.000000
ev_lo_1,0.011921,1,1,21,2,0,0,0,5,0,4,4,0,0,8,0.013113,10,12,0,0.000000
ev_ad_1,0.011921,1,1,25,2,0,0,0,6,0,4,4,0,2,9,0.010967,10,14,0,0.000000
ev_ch_1,0.240803,1,1,25,2,0,0,0,8,1,4,4,0,0,8,0.011206,10,25,0,0.000000
ev_db_1,0.014067,1,1,24,2,0,0,0,8,0,4,4,0,0,8,0.031948,10,24,0,0.000000
ev_la_1,0.301123,1,1,47,3,2,1,0,9,2,7,7,0,5,16,1.641989,10,527,0,0.000000
la_lo_1,0.006914,0,0,17,1,2,0,0,6,0,0,0,0,2,6,0.079870,521,20,0,0.000000
la_ad_1,0.007153,0,0,15,0,2,0,0,6,0,0,0,0,2,5,0.072956,521,12,0,0.000000
la_ch_1,0.014067,0,0,21,1,2,0,0,9,1,0,0,0,2,6,0.081062,521,41,0,0.000000
la_db_1,0.010967,0,0,20,1,2,0,0,9,0,0,0,0,2,6,0.077963,521,40,0,0.000000
la_ev_1,0.016212,3,3,40,1,2,0,0,8,0,13,13,0,2,10,0.082970,521,24,0,0.000000
lo_ad_56,0.003815,0,0,7,0,0,0,0,4,0,0,0,0,2,1,0.012159,116,173,0,0.000000
lo_ch_56,0.009060,0,0,7,0,0,0,0,6,1,0,0,0,0,0,0.001907,116,233,0,0.000000
lo_db_56,0.006914,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0.000954,116,232,0,0.000000
lo_ev_56,0.016689,3,3,26,0,0,0,0,5,0,13,13,0,0,4,0.005245,116,120,0,0.000000
lo_la_56,0.592232,0,0,29,1,2,1,0,7,2,3,3,0,5,8,4.096985,116,741,0,0.000000
ad_lo_56,0.006914,0,0,9,1,0,0,0,4,0,0,0,0,0,4,2.245188,173,228,0,0.000000
ad_ch_56,0.018358,0,0,13,1,0,0,0,7,1,0,0,0,0,4,1.201868,173,457,0,0.000000
ad_db_56,0.010014,0,0,12,1,0,0,0,7,0,0,0,0,0,4,1.424074,173,456,0,0.000000
ad_ev_56,0.019312,3,3,32,1,0,0,0,6,0,13,13,0,0,8,1.188755,173,232,0,0.000000
ad_la_56,0.285864,0,0,36,2,2,1,0,9,2,3,3,0,5,12,14.447689,173,1413,0,0.000000
ch_lo_56,0.006914,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0.001907,233,116,0,0.000000
ch_ad_56,0.007868,0,0,7,0,0,0,0,4,0,0,0,0,2,1,0.020981,233,173,0,0.000000
ch_db_56,0.010967,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0.002861,233,232,0,0.000000
ch_ev_56,0.018120,3,3,26,0,0,0,0,5,0,13,13,0,0,4,0.005960,233,120,0,0.000000
ch_la_56,0.299692,0,0,29,1,2,1,0,7,2,3,3,0,5,8,3.871918,233,741,0,0.000000
db_lo_56,0.006199,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0.002146,232,116,0,0.000000
db_ad_56,0.005722,0,0,7,0,0,0,0,4,0,0,0,0,2,1,0.111818,232,173,0,0.000000
db_ch_56,0.010967,0,0,7,0,0,0,0,6,1,0,0,0,0,0,0.003099,232,233,0,0.000000
db_ev_56,0.014067,3,3,26,0,0,0,0,5,0,13,13,0,0,4,0.005007,232,120,0,0.000000
db_la_56,0.560045,0,0,29,1,2,1,0,7,2,3,3,0,5,8,3.680944,232,741,0,0.000000
ev_lo_56,0.015259,1,1,21,2,0,0,0,5,0,4,4,0,0,8,0.013113,120,122,0,0.000000
ev_ad_56,0.013828,1,1,25,2,0,0,0,6,0,4,4,0,2,9,0.138998,120,179,0,0.000000
ev_ch_56,0.016928,1,1,25,2,0,0,0,8,1,4,4,0,0,8,0.011921,120,245,0,0.000000
ev_db_56,0.015020,1,1,24,2,0,0,0,8,0,4,4,0,0,8,0.010014,120,244,0,0.000000
ev_la_56,0.301838,1,1,47,3,2,1,0,9,2,7,7,0,5,16,3.996134,120,747,0,0.000000
la_lo_56,0.006914,0,0,17,1,2,0,0,6,0,0,0,0,2,6,13.334036,741,900,0,0.000000
la_ad_56,0.009298,0,0,15,0,2,0,0,6,0,0,0,0,2,5,4.168034,741,397,0,0.000000
la_ch_56,0.013113,0,0,21,1,2,0,0,9,1,0,0,0,2,6,14.115810,741,1801,0,0.000000
la_db_56,0.022888,0,0,20,1,2,0,0,9,0,0,0,0,2,6,14.209986,741,1800,0,0.000000
la_ev_56,0.029087,3,3,40,1,2,0,0,8,0,13,13,0,2,10,15.105009,741,904,0,0.000000
lo_ad_111,0.006914,0,0,7,0,0,0,0,4,0,0,0,0,2,1,0.187874,226,338,0,0.000000
lo_ch_111,0.012159,0,0,7,0,0,0,0,6,1,0,0,0,0,0,0.003099,226,453,0,0.000000
lo_db_111,0.009060,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0.000954,226,452,0,0.000000
lo_ev_111,0.013113,3,3,26,0,0,0,0,5,0,13,13,0,0,4,0.005007,226,230,0,0.000000
lo_la_111,0.369072,0,0,29,1,2,1,0,7,2,3,3,0,5,8,7.405043,226,961,0,0.000000
ad_lo_111,0.006914,0,0,9,1,0,0,0,4,0,0,0,0,0,4,3.846884,338,448,0,0.000000
ad_ch_111,0.012159,0,0,13,1,0,0,0,7,1,0,0,0,0,4,3.901005,338,897,0,0.000000
ad_db_111,0.010967,0,0,12,1,0,0,0,7,0,0,0,0,0,4,3.311872,338,896,0,0.000000
ad_ev_111,0.015736,3,3,32,1,0,0,0,6,0,13,13,0,0,8,3.725052,338,452,0,0.000000
ad_la_111,0.396013,0,0,36,2,2,1,0,9,2,3,3,0,5,12,42.743206,338,2293,0,0.000000
ch_lo_111,0.006914,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0.000954,453,226,0,0.000000
ch_ad_111,0.008106,0,0,7,0,0,0,0,4,0,0,0,0,2,1,0.204086,453,338,0,0.000000
ch_db_111,0.010014,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0.001907,453,452,0,0.000000
ch_ev_111,0.014782,3,3,26,0,0,0,0,5,0,13,13,0,0,4,0.005722,453,230,0,0.000000
ch_la_111,0.329971,0,0,29,1,2,1,0,7,2,3,3,0,5,8,6.821871,453,961,0,0.000000
db_lo_111,0.003815,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0.000954,452,226,0,0.000000
db_ad_111,0.005960,0,0,7,0,0,0,0,4,0,0,0,0,2,1,0.036240,452,338,0,0.000000
db_ch_111,0.018835,0,0,7,0,0,0,0,6,1,0,0,0,0,0,0.001907,452,453,0,0.000000
db_ev_111,0.014067,3,3,26,0,0,0,0,5,0,13,13,0,0,4,0.004768,452,230,0,0.000000
db_la_111,0.309944,0,0,29,1,2,1,0,7,2,3,3,0,5,8,7.668018,452,961,0,0.000000
ev_lo_111,0.013113,1,1,21,2,0,0,0,5,0,4,4,0,0,8,0.011921,230,232,0,0.000000
ev_ad_111,0.013113,1,1,25,2,0,0,0,6,0,4,4,0,2,9,0.187159,230,344,0,0.000000
ev_ch_111,0.018120,1,1,25,2,0,0,0,8,1,4,4,0,0,8,0.010967,230,465,0,0.000000
ev_db_111,0.016212,1,1,24,2,0,0,0,8,0,4,4,0,0,8,0.010014,230,464,0,0.000000
ev_la_111,0.459909,1,1,47,3,2,1,0,9,2,7,7,0,5,16,7.575989,230,967,0,0.000000
la_lo_111,0.007868,0,0,17,1,2,0,0,6,0,0,0,0,2,6,47.109127,961,1780,0,0.000000
la_ad_111,0.010014,0,0,15,0,2,0,0,6,0,0,0,0,2,5,8.758783,961,782,0,0.000000
la_ch_111,0.013828,0,0,21,1,2,0,0,9,1,0,0,0,2,6,49.355030,961,3561,0,0.000000
la_db_111,0.018120,0,0,20,1,2,0,0,9,0,0,0,0,2,6,47.799826,961,3560,0,0.000000
la_ev_111,0.022888,3,3,40,1,2,0,0,8,0,13,13,0,2,10,49.739122,961,1784,0,0.000000
lo_ad_167,0.007153,0,0,7,0,0,0,0,4,0,0,0,0,2,1,0.225067,338,506,0,0.000000
lo_ch_167,0.011206,0,0,7,0,0,0,0,6,1,0,0,0,0,0,0.003099,338,677,0,0.000000
lo_db_167,0.009298,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0.002146,338,676,0,0.000000
lo_ev_167,0.013828,3,3,26,0,0,0,0,5,0,13,13,0,0,4,0.004768,338,342,0,0.000000
lo_la_167,0.308990,0,0,29,1,2,1,0,7,2,3,3,0,5,8,12.809038,338,1185,0,0.000000
ad_lo_167,0.007868,0,0,9,1,0,0,0,4,0,0,0,0,0,4,8.723974,506,672,0,0.000000
ad_ch_167,0.014782,0,0,13,1,0,0,0,7,1,0,0,0,0,4,7.515192,506,1345,0,0.000000
ad_db_167,0.013113,0,0,12,1,0,0,0,7,0,0,0,0,0,4,7.991076,506,1344,0,0.000000
ad_ev_167,0.016928,3,3,32,1,0,0,0,6,0,13,13,0,0,8,8.048058,506,676,0,0.000000
ad_la_167,0.384092,0,0,36,2,2,1,0,9,2,3,3,0,5,12,100.520134,506,3189,0,0.000000
